Episode,Average Loss,Average Epsilon,Average Reward
1,0.1221427982673049,0.9985009997500001,-0.9677734375
2,0.13592473541696867,0.9935192985419651,-0.8277994791666666
3,0.2404929269105196,0.9865866447872098,-0.445068359375
4,0.22601399570703506,0.9801898459997661,-0.9796875
5,0.3240060925483704,0.9752986888712286,-1.0796875
6,0.18843582272529602,0.9684943072975591,-0.5004340277777778
7,0.219334277510643,0.9593333769681532,-0.5505859375
8,0.2206117980182171,0.9497830982816486,-0.4853515625
9,0.14970216155052185,0.9431512244936202,-1.0458984375
10,0.20806886752446493,0.9398540450331595,-1.3372395833333333
11,0.29853780733214486,0.9342318052850113,-0.5394965277777778
12,0.20798144936561586,0.9277096020274982,-0.987890625
13,0.1924475133419037,0.9230803218409227,-0.705078125
14,0.217356045730412,0.9170982668552788,-0.810302734375
15,0.2121581996862705,0.9075183203248487,-0.3816105769230769
16,0.1636590531894139,0.8984793698377229,-0.7486049107142857
17,0.19446282668246162,0.891317831660581,-0.6026475694444444
18,0.14919787943363189,0.8850952260585776,-0.963671875
19,0.21704582354197136,0.8771664264576402,-0.34555288461538464
20,0.14147291705012321,0.8679960026484732,-0.8671875
21,0.16689319256693125,0.8627993018993547,-0.8916015625
22,0.06987635642290116,0.858923816343965,-1.1046875
23,0.19913198107055255,0.8508047005991,-0.26297433035714285
24,0.18476649576967413,0.840227951568738,-0.5935724431818182
25,0.16799410283565522,0.8314466176910266,-0.492578125
26,0.15015288032591342,0.8252284160347989,-0.96484375
27,0.1089712530374527,0.8219319019379814,-1.3372395833333333
28,0.16882510257086583,0.8149779795211541,-0.37123325892857145
29,0.15332426982266562,0.806456298318035,-0.9129464285714286
30,0.17369442153722048,0.8020296530433029,-1.0927734375
31,0.12417970544525556,0.7976295013334135,-0.427734375
32,0.14802036993205547,0.793251306420151,-1.06591796875
33,0.1843661857502801,0.7888993150953011,-0.7564174107142857
34,0.2308159532646338,0.7814396401949671,-0.396484375
35,0.19660194590687752,0.7752058211025763,-0.998046875
36,0.13907398449050057,0.7701829072977803,-0.4926215277777778
37,0.11519832217267581,0.7640419463426021,-0.5792410714285714
38,0.16239719837903976,0.7583306955932151,-0.664306640625
39,0.19163061181704202,0.7541675201368676,-1.2721354166666667
40,0.2027758381196431,0.7504054685994337,-0.8018973214285714
41,0.23846542835235596,0.7462864867914464,-1.08984375
42,0.1903492578051307,0.7407107394036981,-0.5633877840909091
43,0.14580125672121844,0.732237847425712,-0.33984375
44,0.13330278864928655,0.7253082043016172,-0.9207589285714286
45,0.1630966684647969,0.7202462529833796,-0.7332589285714286
46,0.13406001670019968,0.7152196292003833,-0.8253348214285714
47,0.12206167044738929,0.7105830817171448,-0.91796875
48,0.17471091002225875,0.7066833337600724,-1.061328125
49,0.16937263756990434,0.703156976861309,-0.87109375
50,0.16705858583251634,0.6992986257431139,-0.8818359375
51,0.13076729948321977,0.6951133094925542,-0.70703125
52,0.17058744902412096,0.6909530424433976,-0.658203125
53,0.2406427338719368,0.6861316582880173,-0.803955078125
54,0.16984392205874124,0.6823648498280575,-1.29296875
55,0.1446837056428194,0.6786218343024379,-0.613525390625
56,0.2042419347912073,0.6725396210779648,-0.388671875
57,0.21625298261642456,0.6685117812784425,-1.796875
58,0.16927334453378404,0.6655099874859818,-0.7154017857142857
59,0.08769964799284935,0.6625191856002212,-1.66015625
60,0.12852151580154897,0.6585566318895584,-0.655859375
61,0.0759199894964695,0.6542852845226979,-1.3372395833333333
62,0.17762681543827058,0.65167250136274,-0.819140625
63,0.18042918667197227,0.6480966549912036,-0.6686197916666666
64,0.17911499589681626,0.6445398385241132,-0.7578125
65,0.20112082827836275,0.6403628750863054,-0.57373046875
66,0.18493309510605677,0.6355753361522594,-0.7689732142857143
67,0.2034017989145858,0.6311396336583478,-0.6651785714285714
68,0.1687494409935815,0.6267348880872355,-0.9776785714285714
69,0.12072949359814326,0.6236064343467449,-1.1627604166666667
70,0.18152141996792384,0.620495667199597,-0.56640625
71,0.13109812885522842,0.6167813708321518,-1.009375
72,0.21426750932421004,0.6130905357048447,-0.7486049107142857
73,0.19792969897389412,0.6079000592063978,-0.4568359375
74,0.2005642991926935,0.6021490141706054,-0.4709201388888889
75,0.1622821862498919,0.5976464253596424,-0.5940755208333334
76,0.202632731625012,0.59377271246277,-0.576171875
77,0.12305580847896636,0.5893342325268817,-0.651123046875
78,0.1693638265132904,0.5828870813779091,-0.29324776785714285
79,0.14322295039892197,0.5776576959135561,-1.08984375
80,0.14835967123508453,0.5753505287660241,-1.15185546875
81,0.18055599513981077,0.57162256899732,-0.5542534722222222
82,0.1576554337516427,0.5667815563350148,-0.645263671875
83,0.1821118767062823,0.5628253107492269,-0.7399088541666666
84,0.128795743919909,0.5588979859256797,-0.7626953125
85,0.21584942298276083,0.5547195021754805,-0.7243303571428571
86,0.09600475430488586,0.5519505254765762,-1.1627604166666667
87,0.10461463965475559,0.5483747797200837,-0.43203125
88,0.13362746499478817,0.5434582861973567,-0.51904296875
89,0.15758333913981915,0.540204596002495,-1.1640625
90,0.18559431955218314,0.5364363686401579,-0.294921875
91,0.09728778004646302,0.5324244820740638,-0.589453125
92,0.13877993720498952,0.5281820791606122,-0.3311434659090909
93,0.17489855363965034,0.5242312686186656,-1.0458984375
94,0.17580012381076812,0.5218765486916296,-0.806640625
95,0.17592822511990866,0.5182355644350451,-0.5138888888888888
96,0.12771784141659737,0.5143604411699473,-0.8899739583333334
97,0.18266861389080682,0.5120492897667889,-1.2721354166666667
98,0.16698376337687174,0.5097496710337676,-0.5279947916666666
99,0.18322508533795676,0.5066988090652802,-0.8040364583333334
100,0.17503659630363638,0.5024097664103844,-0.4444247159090909
101,0.14968576095998287,0.49765592467871617,-0.494873046875
102,0.1268176944660289,0.49221170849458484,-0.45242745535714285
103,0.19821591302752495,0.4873084299952292,-0.6507161458333334
104,0.148670956492424,0.4851188301123286,-1.4388020833333333
105,0.1296426970511675,0.4834231766802567,-1.0458984375
106,0.13926130952313542,0.47861543195703693,0.2213134765625
107,0.1836969293653965,0.47289974334353246,-0.446044921875
108,0.13552344497293234,0.4700684878504279,-1.0458984375
109,0.12020255009142253,0.4660908310062655,-0.375
110,0.19115963876247405,0.46190997946644324,-0.94921875
111,0.13019450986757874,0.45891655535132914,-0.679443359375
112,0.1307203769683838,0.4563971398102562,-1.1627604166666667
113,0.20192509392897287,0.4550293171258477,-1.4388020833333333
114,0.1172126429155469,0.45343883665923895,-1.06591796875
115,0.15919026838881628,0.4509511484984762,-0.6916852678571429
116,0.12253953963518142,0.44713335781028984,-0.6564453125
117,0.10897739045321941,0.4440112428760696,-1.15185546875
118,0.22870663972571492,0.44223786019642164,-1.06591796875
119,0.1818895824253559,0.43959193782741773,-0.408935546875
120,0.18028329064448675,0.43652350053594446,-0.8863932291666666
121,0.12050602336724599,0.43391089866131205,-0.8141276041666666
122,0.13375979023320334,0.4310984560984265,-0.7025669642857143
123,0.1357250176370144,0.4280898048999489,-0.6791294642857143
124,0.13577284434667,0.42383024087431836,-0.5021033653846154
125,0.10914149106695102,0.4183533855887853,-0.17322716346153846
126,0.12798539781942964,0.4139796684330315,-0.7783203125
127,0.23865280548731485,0.4117069528419805,-1.2721354166666667
128,0.13324500868717828,0.40985797259693074,-0.5647786458333334
129,0.22968322038650513,0.4080163771851442,-1.1627604166666667
130,0.11940117677052815,0.40436252703986464,-0.05716145833333333
131,0.15595847268899282,0.3983393637653985,-0.10572916666666667
132,0.11768515103242615,0.3931902033376863,-0.22816051136363635
133,0.06852948293089867,0.39044429126130226,-1.1627604166666667
134,0.1265395749360323,0.38869080185250987,-0.4124348958333333
135,0.16202679028113684,0.38636447963543463,-0.58984375
136,0.11315312360723813,0.3840520805033201,-0.6702473958333334
137,0.1337264052459172,0.3815628035091155,-0.4467075892857143
138,0.1371771808092793,0.37795482158572624,-0.3439127604166667
139,0.15008535981178284,0.3740041104031772,-0.4429253472222222
140,0.08076661080121994,0.37195051616376873,-1.796875
141,0.16095472872257233,0.37102141453780674,-1.1315104166666667
142,0.12737534629801908,0.3693551534721741,-0.7620442708333334
143,0.13716775178909302,0.3671445554970782,-0.9557291666666666
